timestamp,BTC,ETH,BNB,BCC,NEO,LTC,ADA,XRP,EOS,XLM,ONT,TRX,ETC,ICX,VEN,VET,PAX,BTT,ONG,HOT,ZIL,ZRX,FET,BAT,XMR,ZEC,OMG,ENJ,ONE,FTM,GTO,ERD,WIN,COS,MTL,MFT,KEY,WAN,FUN,CVC,CHZ,XTZ,REN,RVN,NKN,STX,RLC,MCO,BCH,FTT,BRY,TRY,RUB,EUR,OGN,TCT,WRX,BTS,LSK,BNT,LTO,MBL,ZAR,WTC,XZC,SOL,CHR,GXS,MDT,KNC,REP,LRC,PNT,UAH,ZEN,SNX,DGB,GBP,SXP,MKR,DAI,DCR,AUD,YFI,BAL,BLZ,KMD,DAI,JST,SRM,ANT,CRV,NMR,DOT,RSR,TRB,KSM,DIA,FIO,UMA,NGN,BEL,UNI,NBS,OXT,SUN,HNT,FLM,ORN,UTK,XVS,BRL,FIL,INJ,CTK,AXS,DNT,AVA,XEM,SKL,GRT,JUV,PSG,ATM,ASR,RIF,TRU,CKB,TWT,LIT,SFP,ACM,FIS,CFX,EPS,TKO,TLM,BTG,MIR,BAR,SLP,ICP,MDX,LPT,XVG,ATA,GTC,ERN,PHA,MLN,C98,CLV,QNT,TVK,RAY,FOR,REQ,GNO,XEC,ELF,ILV,YGG,SYS,CVP,RAD,ADX,DAR,BNX,RGT,ENS,VGX,AMP,PLA,PYR,ANY,FXS,CVX,UST,JOE,ACH,IMX,ACA,ANC,XNO,WOO,GMT,KDA,APE,BSW,MOB,REI,GAL,LDO,EPX,STG,GMX,APT,HFT,PHB,RPL,GNS,SYN,VIB,SSV,AMB,GAS,GLM,QKC,UFT,ARB,OAX,PLN,RON,ARS,EDU,SUI,AST,SNT,MAV,TRY,WLD,SEI,ARK,GFT,VAI,TIA,VIC,JTO,ACE,NFP,XAI,ALT,JUP,DYM,PDA,AXL,WIF,ENA,MXN,CZK,TAO,REZ,NOT,COP,ZRO,TON,SLF,POL,SCR,COW,ACT,THE,ACX,BIO,TST,HEI,RED,GPS,BMT,NIL,TUT,GUN
01/01/2018 00:00,13380,754.99,8.45,2300.01,78.299,222.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 00:00,14675.11,855.28,8.715,2529.01,89.696,247.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2018 00:00,14919.51,934.03,9.304,2512.85,103.505,238.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2018 00:00,15059.54,940,9.143,2331.78,97.669,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2018 00:00,16960.39,959.3,14.8908,2393.24,95.134,240.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2018 00:00,17069.79,1004.11,22.6,2525.95,100.491,275.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2018 00:00,16150.03,1123.09,18.594,2525.93,103.096,269.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018 00:00,14902.54,1133.18,17.9971,2382.99,101.361,252.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2018 00:00,14400,1291,17.399,2352.02,126.7,244.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2018 00:00,14907.09,1247,17.5,2883.63,122.239,247.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
